games_played,goals,assists,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,Home
30,0.1,0.3,0.4,-0.1,0.0,0.0,0.0333333333333333,0.0,1.8333333333333333,19.0,0.0,0.0,0.5666666666666667,0.2375833333333333,0
29,0.2068965517241379,0.3793103448275862,0.5862068965517241,0.1379310344827586,0.0,0.0344827586206896,0.0,0.0,1.3793103448275863,18.58620689655172,0.0,0.0,0.8620689655172413,0.2246647509578544,0
35,0.2571428571428571,0.3142857142857143,0.5714285714285714,-0.2857142857142857,0.0285714285714285,0.0571428571428571,0.0285714285714285,0.0,2.5142857142857142,18.37142857142857,0.0,0.0,0.4,0.2582380952380952,0
35,0.1714285714285714,0.4571428571428571,0.6285714285714286,-0.4285714285714285,0.0285714285714285,0.2285714285714285,0.0,0.0,2.1142857142857143,20.485714285714284,0.0,0.0,0.2857142857142857,0.3168095238095238,0
3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,1.3333333333333333,12.666666666666666,0.0,0.0,0.0,0.1575,0
35,0.2285714285714285,0.2,0.4285714285714285,0.0285714285714285,0.0,0.0,0.0285714285714285,0.0,1.2857142857142858,19.51428571428572,0.0,0.0,0.4,0.2526904761904762,0
18,0.0555555555555555,0.2222222222222222,0.2777777777777778,-0.0555555555555555,0.0,0.0,0.0,0.0,1.0,13.944444444444445,0.0,0.0,0.8333333333333334,0.1673611111111111,0
33,0.1818181818181818,0.1515151515151515,0.3333333333333333,-0.2121212121212121,0.0,0.0303030303030303,0.0,0.0,1.4242424242424243,19.0,0.0,0.0,0.3636363636363636,0.2447390572390572,0
20,0.2,0.25,0.45,-0.2,0.15,0.15,0.0,0.0,1.55,16.95,0.0,0.0,0.2,0.2234722222222222,0
24,0.375,0.25,0.625,-0.125,0.0416666666666666,0.0833333333333333,0.0833333333333333,0.0,1.9166666666666667,19.041666666666668,0.0,0.0,0.1666666666666666,0.2513310185185185,0
33,0.3939393939393939,0.2424242424242424,0.6363636363636364,0.1212121212121212,0.1515151515151515,0.1515151515151515,0.0303030303030303,0.0,2.606060606060606,19.363636363636363,0.0,0.0,0.303030303030303,0.2790824915824916,0
19,0.2105263157894736,0.3684210526315789,0.5789473684210527,0.0526315789473684,0.0,0.0,0.0526315789473684,0.0526315789473684,1.368421052631579,16.473684210526315,0.0,0.0,0.0,0.2196637426900584,0
32,0.25,0.1875,0.4375,-0.1875,0.0,0.03125,0.03125,0.0,1.65625,16.53125,0.0,0.0,0.25,0.2021614583333333,1
21,0.3333333333333333,0.3809523809523809,0.7142857142857143,-0.1428571428571428,0.0952380952380952,0.238095238095238,0.0952380952380952,0.0,2.0,23.95238095238096,0.0,0.0,0.4761904761904761,0.2959126984126984,1
30,0.0333333333333333,0.1333333333333333,0.1666666666666666,-0.3,0.0,0.0,0.0,0.0,1.1,15.4,0.0,0.0,0.2,0.1667407407407407,1
32,0.125,0.28125,0.40625,-0.15625,0.03125,0.15625,0.0,0.0,1.8125,22.59375,0.0,0.0,0.65625,0.2625260416666666,1
32,0.21875,0.21875,0.4375,0.21875,0.0,0.0,0.0,0.0,1.65625,22.03125,0.0,0.0,0.125,0.2401475694444444,1
25,0.32,0.24,0.56,-0.64,0.12,0.24,0.0,0.0,2.84,21.2,0.0,0.0,0.56,0.2791222222222222,1
27,0.2962962962962963,0.2592592592592592,0.5555555555555556,-0.074074074074074,0.037037037037037,0.1111111111111111,0.074074074074074,0.0,1.9259259259259256,21.62962962962963,0.037037037037037,0.074074074074074,0.8148148148148148,0.2579629629629629,1
32,0.40625,0.78125,1.1875,-0.125,0.15625,0.5625,0.125,0.0,2.65625,24.34375,0.0,0.0,0.25,0.3157118055555555,1
32,0.4375,0.3125,0.75,-0.3125,0.125,0.25,0.03125,0.0,3.03125,22.40625,0.0,0.0,0.1875,0.2916579861111111,1
27,0.5185185185185185,0.925925925925926,1.4444444444444444,-0.1481481481481481,0.1481481481481481,0.6296296296296297,0.1111111111111111,0.074074074074074,4.444444444444445,22.88888888888889,0.0,0.0,0.3703703703703703,0.3447633744855966,1
32,0.25,0.1875,0.4375,-0.21875,0.09375,0.09375,0.0,0.0,1.6875,22.21875,0.0,0.0,0.1875,0.2836458333333333,1
33,0.0303030303030303,0.7272727272727273,0.7575757575757576,0.0303030303030303,0.0,0.1515151515151515,0.0,0.0,2.636363636363636,26.09090909090909,0.0,0.0,0.303030303030303,0.4076094276094276,0
35,0.0571428571428571,0.4857142857142857,0.5428571428571428,-0.2285714285714285,0.0,0.1428571428571428,0.0,0.0,1.2,25.542857142857144,0.0,0.0,0.1142857142857142,0.3838095238095238,0
32,0.03125,0.0625,0.09375,-0.21875,0.0,0.0,0.0,0.0,1.28125,19.125,0.0,0.0,0.4375,0.2572569444444444,0
31,0.0967741935483871,0.2903225806451613,0.3870967741935484,-0.2903225806451613,0.0,0.0,0.032258064516129,0.0,1.064516129032258,22.93548387096774,0.0,0.0,1.4193548387096775,0.3238978494623656,0
29,0.0344827586206896,0.2413793103448276,0.2758620689655172,0.0,0.0,0.0,0.0344827586206896,0.0,0.8275862068965517,17.862068965517242,0.0,0.0,0.6206896551724138,0.2373946360153256,0
20,0.15,0.25,0.4,0.05,0.0,0.05,0.0,0.0,1.1,23.7,0.0,0.0,0.6,0.3470416666666666,0
25,0.0,0.08,0.08,-0.12,0.0,0.0,0.0,0.0,0.96,19.92,0.0,0.0,1.36,0.2482,1
